id,title,date,location
1718,"ISIS DANCE OPEN Felnőtt, Ifjúsági Latin és Junior Tíztánc Ranglista és Klubközi Verseny - Junior II.-Ifjúsági ""B"" LAT 2014.10.19",2014.10.19,Szombathely
1719,XXII. Gála Kupa és ParaDance MB - Ifjúsági E Standard 2021.09.19,2021.09.19,"8900 Zalaegerszeg, Zárda u. 21-25"
1720,IV. C&M Kupa - Gyermek I E LAT 2019.11.09,2019.11.09,"8600 Siófok, Szépvölgyi út 2"
1721,Buda Open 2018 - Klubközi Versenyek - Ifjúsági C LAT 2018.04.28,2018.04.28,Budapest
1722,IV. Sundance Kupa E hattánc D Nyolctánc OB - OB Junior I E 6 tánc 2021.05.08,2021.05.08,6440 Jánoshalma Bernáth Zoltán utca 1
1723,I. C&M KUPA - Senior I D Standard 2016.10.02,2016.10.02,Siófok
1724,"iDance2017 - Felnőtt-Ifjúsági Tíztánc, Junior Latin, Senior Standard Ranglista és Klubközi táncverseny - Felnőtt C Standard 2017.05.20",2017.05.20,Kozármisleny
1725,"IX. Forma Kupa, D Országos Bajnokság - Ifjúsági E LAT 2015.11.07",2015.11.07,Algyő
1726,"Felnőtt-Ifjúsági Tíztánc, Junior Standard Ranglista - Junior II - Ifjúsági E Standard 2017.10.21",2017.10.21,Szombathely
1727,X. Gemenc Kupa - Ifjúsági C Standard 2015.03.22,2015.03.22,Tolna
1728,C Országos Bajnokság és Klubközi Táncverseny - Junior II D Standard 2022.11.05,2022.11.05,5000 Szolnok Stadion utca 9735
1729,"Lászlóvill Kupa RL, Klubközi Táncverseny - F-E-STT 2019.05.18",2019.05.18,Székesfehérvár
1730,"IX. Gemenc Kupa - Gyerek II. ""D"" LAT 2014.11.09",2014.11.09,Tolna
1731,Kelet-Magyarország Területi Bajnokság - TB Gyermek II E Standard 2017.03.18,2017.03.18,Szentes
1732,"V. Duna Kupa D Országos Bajnokság - Junior I. ""D"" LAT OB 2014.11.16",2014.11.16,Mohács
